AUPRC,ROC_AUC,Precision,Recall,F1,Threshold,CM_TN,CM_FP,CM_FN,CM_TP,Model,Strategy
0.8682785970958892,0.9773213461182921,0.9186046511627907,0.8315789473684211,0.8729281767955801,0.485,56644,7,16,79,Random_Forest,smote
0.868077551524031,0.9611252275009778,0.925,0.7789473684210526,0.8457142857142858,0.485,56645,6,21,74,Random_Forest,baseline
0.849415054299926,0.9744390631837223,0.8705882352941177,0.7789473684210526,0.8222222222222222,0.875,56640,11,21,74,Random_Forest,under
0.7650691056909984,0.9768553349269629,0.7934782608695652,0.7684210526315789,0.7807486631016043,0.9496160343695156,56632,19,22,73,Logistic_Regression,smote
0.7631181720909689,0.9837280709496464,0.7849462365591398,0.7684210526315789,0.776595744680851,0.09684207544640758,56631,20,22,73,Logistic_Regression,baseline
0.6849316118678508,0.980624767156988,0.6822429906542056,0.7684210526315789,0.7227722772277227,0.9613092338221859,56617,34,22,73,Logistic_Regression,under
0.11961159582425566,0.9565312639067085,0.19090909090909092,0.22105263157894736,0.2048780487804878,,56562,89,74,21,Isolation_Forest,unsupervised
0.09700410702673709,0.9587659064874592,0.10993975903614457,0.7684210526315789,0.19235836627140976,1.0,56060,591,22,73,Naives_Bayes,smote
0.09220900177105155,0.9670692857189308,0.10393258426966293,0.7789473684210526,0.18339529120198264,0.9999999999999858,56013,638,21,74,Naives_Bayes,baseline
0.09186275982183874,0.967451217937343,0.10407876230661041,0.7789473684210526,0.18362282878411912,1.0,56014,637,21,74,Naives_Bayes,under
